protocol, hwsrc, hwdst, ipsrc, ipdst, whois
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,185.94.84.154,10.2.201.36,
-1,e0:98:61:b8:cb:bd,ff:ff:ff:ff:ff:ff,,,
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,64.233.190.103,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,64.233.190.103,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
34525,e0:69:95:e4:c1:2a,33:33:00:00:00:fb,,,
34525,e0:98:61:b8:cb:bd,33:33:00:00:00:16,,,
2048,00:21:00:a6:13:40,ff:ff:ff:ff:ff:ff,10.2.200.227,10.2.203.255,
2048,e4:f8:9c:bf:46:fe,ff:ff:ff:ff:ff:ff,10.2.200.6,10.2.203.255,
34525,f8:e0:79:4f:db:28,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,209.225.49.115,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
34525,e4:40:e2:ba:9e:2f,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2048,10:68:3f:8f:dd:bd,01:00:5e:00:00:fb,10.2.203.174,224.0.0.251,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,64.233.190.103,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,64.233.190.103,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,74:d4:35:ed:41:00,ff:ff:ff:ff:ff:ff,10.2.5.5,10.2.5.255,
2048,e4:f8:9c:bf:46:fe,ff:ff:ff:ff:ff:ff,10.2.200.6,10.2.203.255,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.189,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
34525,f8:e0:79:59:95:c8,33:33:ff:59:95:c8,,,
2048,f0:7b:cb:5c:b0:5c,ff:ff:ff:ff:ff:ff,10.2.201.93,10.2.203.255,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.1.254,10.2.1.230,1
2048,10:68:3f:8f:dd:bd,01:00:5e:00:00:fb,10.2.203.174,224.0.0.251,
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.203.254,10.2.201.238,1
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,10.0.0.241,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.148,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.1.254,10.2.1.230,1
34525,f8:e0:79:59:95:c8,33:33:00:00:00:16,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.148,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,10.0.0.241,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,64.233.190.103,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.150,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,17.172.232.148,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.148,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.148,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,e4:f8:9c:bf:46:fe,ff:ff:ff:ff:ff:ff,10.2.200.6,10.2.203.255,
2054,e0:69:95:e4:c1:69,ff:ff:ff:ff:ff:ff,10.2.3.5,10.2.3.254,1
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
34525,f8:e0:79:4f:db:28,33:33:00:00:00:02,,,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,17.172.232.150,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.150,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
34525,e4:40:e2:ba:9e:2f,33:33:00:00:00:02,,,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,17.172.232.148,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.148,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,17.172.232.148,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,17.172.232.148,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,17.172.232.148,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
34525,f8:e0:79:59:95:c8,33:33:00:00:00:02,,,
-1,10:3b:59:73:ed:79,ff:ff:ff:ff:ff:ff,,,
2048,e0:98:61:b8:cb:bd,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
2048,10:3b:59:73:ed:79,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
-1,f8:cf:c5:d1:9f:5d,ff:ff:ff:ff:ff:ff,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,190.221.162.55,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2048,e0:69:95:e4:c1:34,ff:ff:ff:ff:ff:ff,10.2.2.3,10.2.2.255,
2048,60:be:b5:43:3a:a3,01:00:5e:00:00:fb,10.2.201.251,224.0.0.251,
2048,60:be:b5:43:3a:a3,01:00:5e:00:00:16,10.2.201.251,224.0.0.22,
34525,f8:cf:c5:d1:9f:5d,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.103,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,60:be:b5:43:3a:a3,01:00:5e:00:00:fb,10.2.201.251,224.0.0.251,
34525,f8:cf:c5:d1:9f:5d,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.189,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,185.94.84.154,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,185.94.84.154,10.2.201.36,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,149.154.175.50,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,00:1b:21:7f:6c:fd,d0:a6:37:e4:d2:50,185.94.84.154,10.2.201.36,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
